Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,242,89,2,0,30,299487,0
1,0,32772,97,97,117,1,1,4,29866,1
0,0,373899,29,29,26,2,0,5,371611,1
0,0,721934,74,74,34,2,0,23,719244,1
0,0,428427,87,87,83,3,0,20,425755,0
0,0,1516533,43,43,61,2,0,31,1514173,1
0,0,465591,161,161,113,2,0,15,462814,0
0,0,54199,32,32,46,2,0,57,51578,1
1,0,952113,116,116,39,1,1,23,949273,1
0,0,1062895,234,234,85,2,0,30,1060310,1
1,0,199898,36,36,93,1,1,19,197364,1
0,0,404584,118,118,92,2,0,21,402206,0
0,0,473501,202,202,123,3,0,23,470631,0
0,0,246580,86,86,4,2,0,19,243767,0
0,0,33755,27,27,55,2,0,43,30969,0
0,0,355891,244,244,117,2,0,6,353552,0
0,0,993191,44,44,61,2,0,31,990858,1
1,0,1100880,194,194,39,1,1,23,1098211,1
1,0,1123469,221,221,94,1,1,24,1120611,0
0,0,1161129,166,166,112,2,0,31,1158613,0
1,0,32977,216,216,115,1,1,84,30248,1
0,0,33431,26,26,98,2,0,54,30843,1
0,0,184674,6,6,95,2,0,12,182293,0
0,0,1757922,188,188,33,2,0,31,1755496,1
0,0,553480,173,173,65,3,0,1,550610,0
0,0,16153,30,30,46,2,0,55,13502,0
0,0,292921,245,245,120,2,0,6,290183,1
0,0,256062,178,178,122,2,0,5,253732,0
0,0,25495,50,50,98,2,0,60,22811,0
0,0,8691,195,195,29,2,0,77,6085,1
0,0,180436,213,213,44,2,0,11,177890,1
0,0,15222,212,212,6,2,0,81,12538,1
0,0,849988,205,205,79,2,0,23,847319,0
0,0,1966199,103,103,40,2,0,30,1963551,1
0,0,546874,142,142,106,2,0,15,544250,0
0,0,1024944,233,233,85,2,0,30,1022305,0
0,0,519004,251,251,74,2,0,7,516413,0
0,0,1176004,165,165,105,2,0,31,1173581,0
0,0,82609,137,137,42,3,0,19,79808,1
1,0,316755,119,119,94,1,1,24,314314,0
0,0,735391,128,128,73,2,0,30,733043,0
0,0,483376,96,96,108,2,0,24,480707,1
0,0,1314205,89,89,112,2,0,31,1311887,0
0,0,1015945,209,209,71,2,0,23,1013150,1
0,0,204433,62,62,45,2,0,14,201761,1
0,0,1800605,108,108,73,2,0,30,1797939,1
0,0,125132,80,80,47,2,0,4,122370,1
1,0,17633,22,22,64,1,1,52,14982,0
0,0,4209,121,121,67,2,0,68,1423,0
0,0,187941,232,232,37,2,0,5,185287,0
0,0,1065877,198,198,111,2,0,25,1063010,0
0,0,425184,135,135,53,2,0,16,422410,0
0,0,513629,257,257,82,3,0,15,510834,0
0,0,568671,172,172,2,2,0,31,566338,1
0,0,1115182,220,220,77,2,0,24,1112378,0
1,0,432436,158,158,61,1,1,15,429818,0
0,0,218715,55,55,70,2,0,17,215884,1
1,0,86749,152,152,68,1,1,3,84020,1
1,0,396102,69,69,93,1,1,19,393418,0
1,0,107074,254,254,72,1,1,2,104540,0
0,0,622377,41,41,8,2,0,30,620053,0
1,0,389747,163,163,127,1,1,15,387120,0
0,0,422008,200,200,32,2,0,17,419294,0
0,0,185153,24,24,129,2,0,26,182502,0
0,0,378614,162,162,87,2,0,15,375975,0
0,0,309384,110,110,122,2,0,5,306937,0
0,0,585607,81,81,120,2,0,6,583331,1
0,0,7162,20,20,46,2,0,50,4697,0
0,0,650434,39,39,38,3,0,14,647633,1
0,0,23290,218,218,73,2,0,49,20606,1
0,0,9867,60,60,98,2,0,62,7462,0
1,0,442799,201,201,48,1,1,23,439932,1
0,0,1713823,8,8,86,2,0,29,1711409,0
0,0,700388,15,15,107,2,0,15,697620,0
0,0,14845,47,47,50,3,0,59,11996,0
0,0,8092,214,214,43,2,0,82,5759,0
1,0,13979,197,197,0,1,1,79,11352,1
0,0,1045611,208,208,71,3,0,23,1042786,0
0,0,15062,85,85,46,2,0,65,12438,0
0,0,1061168,112,112,71,4,0,23,1059124,0
0,0,8115,171,171,45,3,0,48,5269,1
0,0,379418,169,169,51,2,0,33,376740,1
0,0,2047179,184,184,80,2,0,30,2044399,1
0,0,585177,204,204,22,3,0,23,582301,0
0,0,475012,141,141,114,2,0,7,472298,0
0,0,1324430,88,88,61,2,0,31,1322082,0
0,0,1156973,236,236,30,2,0,30,1154469,0
1,0,9580,196,196,38,1,1,78,6749,1
0,0,50888,151,151,51,2,0,20,48174,1
0,0,1096585,235,235,101,2,0,30,1093946,1
0,0,758419,45,45,21,2,0,21,756089,0
0,0,12594,150,150,46,2,0,75,9967,0
0,0,9089,217,217,23,2,0,84,6579,1
1,0,45075,124,124,25,1,1,71,42286,0
1,0,1611964,100,100,81,1,1,29,1609262,1
0,0,1828534,107,107,85,2,0,30,1825916,0
0,0,466038,176,176,64,2,0,24,463714,0
0,0,1865809,105,105,73,2,0,30,1862957,0
0,0,139709,253,253,90,2,0,1,138117,0
1,0,290907,117,117,17,1,1,21,288478,0
0,0,1731005,190,190,7,3,0,28,1728183,0
0,0,2060220,183,183,101,2,0,30,2057611,1
0,0,800723,164,164,3,2,0,22,798375,0
0,0,12158,11,11,54,2,0,42,9363,1
0,0,21771,83,83,46,2,0,63,19363,0
0,0,488327,203,203,22,3,0,23,485541,0
0,0,454333,157,157,107,2,0,15,451748,0
0,0,262330,243,243,83,2,0,6,259847,0
0,0,568854,259,259,106,2,0,15,566233,0
0,0,16377,144,144,46,2,0,73,13513,1
0,0,180486,35,35,42,2,0,19,177754,1
1,0,1633076,186,186,28,1,1,30,1630521,0
0,0,602587,42,42,85,2,0,30,600077,0
0,0,736453,78,78,71,3,0,23,733583,0
0,0,1129346,168,168,61,2,0,31,1126764,1
0,0,20976,57,57,8,2,0,45,18310,0
0,0,5331,149,149,98,2,0,74,2932,0
0,0,629809,113,113,5,3,0,13,627020,1
0,0,1825289,187,187,61,2,0,31,1822929,0
1,0,590672,258,258,61,1,1,15,588504,0
0,0,6553,120,120,62,2,0,67,4166,1
0,0,1152306,222,222,116,2,0,24,1149583,0
0,0,13678,155,155,15,2,0,3,10931,1
0,0,468388,67,67,79,3,0,6,465485,0
1,0,476059,148,148,104,1,1,5,473501,0
0,0,1251196,180,180,121,2,0,29,1248512,0
0,0,1007699,206,206,71,2,0,23,1005114,1
0,0,1147282,167,167,61,2,0,31,1144757,1
0,0,696919,72,72,22,2,0,23,694046,0
1,0,1582479,185,185,96,1,1,30,1579936,0
0,0,221070,140,140,85,2,0,9,218443,1
0,0,463778,79,79,35,2,0,16,460986,0
0,0,11062,5,5,36,2,0,38,8450,0
0,0,1570228,99,99,41,5,0,29,1568267,1
0,0,280853,63,63,128,2,0,23,278046,0
0,0,546370,46,46,95,2,0,8,543824,0
0,0,399549,238,238,53,2,0,16,396772,0
0,0,57145,56,56,91,3,0,45,54284,0
0,0,817323,77,77,71,2,0,23,814468,0
1,0,408107,17,17,23,1,1,5,405750,0
0,0,60414,227,227,12,2,0,86,57859,1
0,0,988200,207,207,34,2,0,23,985546,1
0,0,7898,10,10,63,2,0,41,5274,1
0,0,245264,48,48,2,2,0,0,242583,0
0,0,4732,123,123,98,2,0,70,2051,0
0,0,21506,58,58,98,2,0,61,18858,0
0,0,23129,126,126,98,3,0,72,20358,1
0,0,428401,68,68,75,2,0,18,425663,0
1,0,1014233,134,134,28,1,1,30,1011738,0
0,0,34218,59,59,98,2,0,61,31414,0
0,0,2102129,102,102,101,2,0,30,2099463,1
0,0,15093,156,156,129,3,0,19,12226,0
0,0,1317329,98,98,86,2,0,29,1314768,0
0,0,352788,249,249,111,2,0,18,350182,1
0,0,565683,139,139,117,2,0,6,563344,1
0,0,10603,7,7,1,3,0,39,7772,1
0,0,212927,0,0,24,5,0,13,211077,1
0,0,1200167,193,193,34,2,0,23,1197396,0
0,0,652210,95,95,11,2,0,8,649424,0
0,0,10893,90,90,59,2,0,32,8359,1
0,0,4709,31,31,50,2,0,56,2067,1
0,0,119436,255,255,13,2,0,2,116878,0
0,0,14331,230,230,24,2,0,87,11776,1
0,0,1650945,12,12,126,2,0,30,1648582,1
0,0,7054,122,122,50,2,0,69,4541,0
