Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,373963,28,28,0,8,372953
1,257891,50,50,0,8,256881
1,235050,56,56,0,9,234100
0,213667,38,38,0,13,212129
1,587198,71,71,0,3,585768
0,2607,104,104,0,23,1612
0,1290307,45,45,0,18,1289624
1,318674,67,67,0,9,317781
0,340298,30,30,0,8,339360
1,4257,84,84,0,33,3034
1,714,42,42,1,22,1
1,441837,113,113,1,2,440959
0,426250,89,89,0,8,425120
1,575815,96,96,0,8,574721
0,7796,77,77,0,30,7146
0,705562,23,23,0,18,704282
0,217615,120,120,1,6,216422
0,553985,25,25,0,3,552546
1,381686,70,70,1,19,380409
1,669822,44,44,1,17,668569
0,220225,39,39,1,13,218687
0,9331,13,13,0,26,7841
1,539819,19,19,1,11,538632
0,762518,24,24,0,18,761364
0,633557,4,4,0,18,632190
1,272650,51,51,0,8,271751
0,117411,119,119,1,0,116032
0,283947,40,40,1,13,282400
0,319749,111,111,0,17,318496
1,368482,29,29,0,8,367493
1,502004,92,92,0,8,500910
1,549818,101,101,0,8,548385
1,523271,18,18,0,11,522144
0,626457,21,21,0,17,625132
0,307709,76,76,0,8,306750
1,267266,52,52,1,8,266289
1,747400,64,64,0,17,746270
1,496221,91,91,0,8,495283
0,24337,79,79,0,31,23213
0,29669,80,80,0,31,28731
1,617521,99,99,0,8,616619
1,1080003,106,106,0,17,1078741
0,1505678,22,22,0,18,1504257
0,427442,60,60,1,12,425919
0,431585,90,90,0,8,430644
0,2899,109,109,1,35,1952
1,1905561,49,49,1,17,1904098
1,64367,68,68,1,11,62844
0,263994,8,8,0,14,262717
0,924009,58,58,1,14,922486
1,288343,117,117,0,9,287549
0,514203,114,114,0,2,514066
1,722553,63,63,0,17,721447
1,1706820,5,5,1,17,1705558
1,212824,57,57,0,9,211883
1,444750,88,88,0,8,443839
0,493306,85,85,0,13,491759
0,245389,41,41,0,13,244757
0,437122,87,87,0,8,436220
0,1798125,75,75,0,18,1796725
0,518865,115,115,0,2,517981
1,544003,98,98,0,8,543026
0,286679,59,59,1,12,285567
1,20974,82,82,1,32,19538
1,16755,14,14,0,21,15559
1,456889,102,102,0,14,455630
1,5615,54,54,0,29,4575
1,14110,53,53,1,29,13145
1,1556126,74,74,0,16,1554660
0,622717,37,37,0,2,621833
1,496985,116,116,0,4,495984
0,2612,2,2,0,20,1824
1,1562,20,20,0,28,393
0,284733,112,112,0,2,283762
0,218013,33,33,0,7,216889
1,489099,95,95,0,8,488107
0,400752,61,61,1,12,399232
1,86161,15,15,0,27,85631
0,514924,66,66,0,2,514307
1,14514,81,81,0,31,13402
1,1056372,105,105,0,17,1055425
0,67859,16,16,0,1,66546
1,514925,17,17,0,11,513729
1,315559,118,118,0,9,315128
0,1977944,47,47,0,17,1976967
1,229688,55,55,0,9,228501
1,1855873,27,27,0,18,1854422
1,604409,97,97,1,8,603339
1,1862763,26,26,0,18,1861267
1,541977,108,108,0,10,540886
1,3259,103,103,1,34,2075
0,449733,1,1,0,13,448939
1,579257,43,43,0,9,578298
0,1593162,46,46,0,16,1591861
1,507159,93,93,0,8,506107
1,437723,35,35,0,9,436782
1,1564652,0,0,0,16,1564452
1,625575,100,100,0,8,624448
0,1263503,73,73,0,16,1262121
1,220328,31,31,0,8,219990
0,418436,34,34,0,9,417618
1,28060,83,83,0,32,27086
0,16230,9,9,1,24,14896
1,481887,94,94,0,8,480445
1,19265,78,78,0,31,18156
1,546194,72,72,1,0,544968
1,273888,86,86,0,9,272725
1,48657,12,12,0,25,47974
0,1679690,6,6,0,17,1678407
0,976612,65,65,0,17,975470
0,1497988,69,69,0,18,1497068
0,190441,11,11,0,15,189542
0,463276,62,62,1,12,461756
1,2058209,7,7,0,18,2056686
0,8433,110,110,0,35,7429
1,212508,32,32,0,8,211570
0,347997,36,36,1,12,346477
1,1973004,48,48,0,17,1972075
1,197165,10,10,0,5,196203
1,1698039,3,3,0,16,1696570
1,1127958,107,107,0,17,1127086
