Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,146,146,0,112,10807,1
0,6110,103,102,0,100,3849,0
1,457048,93,92,1,9,454787,0
0,478833,231,231,0,6,476677,0
0,16869,155,155,0,115,14662,0
1,552888,219,219,1,15,550654,0
0,835809,100,99,0,28,833647,0
0,3770,53,52,0,88,732,1
1,828777,112,111,1,47,827212,1
1,9061,58,57,1,73,6806,1
0,2776,158,158,0,116,509,0
1,211189,120,120,1,33,209180,1
1,7765,31,30,1,42,5519,1
0,3747,25,24,0,71,1363,1
0,692573,72,71,0,19,690150,0
0,27924,8,7,0,17,26149,1
0,754574,178,178,0,26,752403,0
0,1178466,119,119,0,43,1176085,0
1,53359,118,118,1,39,52601,1
1,96434,222,222,1,5,94266,1
1,45480,199,199,1,121,43330,1
0,604953,83,82,0,20,602554,0
1,5633,14,13,1,61,4134,0
1,813661,184,184,1,37,811541,0
0,4215,74,73,0,19,1969,1
0,480713,40,39,0,4,478230,0
1,114439,10,9,1,3,112868,1
0,14957,66,65,0,75,12933,0
1,356577,110,109,1,52,354673,0
0,45278,104,103,0,18,42840,0
1,50723,124,124,1,105,48507,1
1,562476,176,176,1,10,560179,0
0,56175,88,87,0,5,53914,1
1,1621,67,66,1,94,2,1
0,4679,117,117,0,39,2307,1
0,11646,127,127,0,106,9286,1
0,487264,98,97,0,17,485114,0
0,47037,180,180,0,119,44773,1
0,371476,175,175,0,18,369323,0
0,477337,12,11,0,9,476408,0
0,828692,197,197,0,48,827244,1
1,909033,35,34,1,39,906619,0
0,1062,4,3,0,70,1,0
1,441740,96,95,1,29,439797,1
1,81519,13,12,1,5,79698,1
0,65232,218,218,0,51,62692,1
0,707127,51,50,0,23,704929,0
0,76316,30,29,0,51,74154,1
1,777368,224,224,1,31,775140,0
0,3230,131,131,0,22,921,1
0,2056,52,51,0,87,2,1
0,4947,48,47,0,85,2638,0
1,372955,230,230,1,29,370655,1
0,2326647,18,17,0,53,2325364,0
1,11060,145,145,1,31,8994,1
1,51771,234,234,1,35,49540,1
0,59089,43,42,0,56,56687,1
1,113111,171,171,1,15,111105,1
0,79561,121,121,0,56,77369,1
1,1451239,132,132,1,51,1449053,0
0,1009290,47,46,0,38,1006993,0
1,170211,126,126,1,49,168412,1
0,4516,56,55,0,90,3179,1
0,611448,114,114,0,10,610807,0
0,5046,163,163,0,117,2860,1
1,1375691,123,123,1,45,1373202,0
0,4025,169,169,0,16,1761,1
1,224206,204,204,1,34,222371,1
1,689616,85,84,1,53,687517,0
1,335828,159,159,1,29,333633,1
1,1204656,200,200,1,45,1202680,0
1,7012,7,6,1,31,5501,1
1,2096,149,149,1,113,747,1
0,1138,6,5,0,107,2,0
1,8253,106,105,1,41,6340,1
1,1189025,191,191,1,51,1186812,0
1,496899,105,104,1,1,495853,0
0,15153,209,209,0,30,12949,1
0,1039862,79,78,0,37,1037046,0
0,20107,71,70,0,50,17801,1
1,799420,225,225,1,31,796943,0
0,391932,9,8,0,58,389746,1
0,3932,166,166,0,118,1401,0
0,915393,65,64,0,33,914149,0
0,244454,162,162,0,19,243822,0
0,394758,21,20,0,9,393970,0
0,574603,173,173,0,21,572120,0
1,4883,44,43,1,82,2628,1
1,252998,135,135,1,28,250869,0
0,2976,168,168,0,77,781,0
0,1159648,147,147,0,41,1157084,0
0,7454,55,54,0,89,5259,1
1,654471,78,77,1,52,652312,1
0,2907,38,37,0,72,667,0
0,4593,2,1,0,17,2230,1
0,1705791,92,91,0,53,1703299,1
1,598394,172,172,1,21,596190,0
0,2152,11,10,0,60,38,0
0,507624,194,194,0,3,505363,0
1,459000,177,177,1,10,456733,0
1,123424,232,232,1,8,121439,0
1,805063,182,182,1,38,803291,0
0,3147,45,44,0,83,535,1
0,7548,57,56,0,91,5362,0
0,11573,113,112,0,103,9210,0
0,81116,5,4,0,13,80040,1
0,703891,75,74,0,23,701787,0
0,351915,203,203,0,57,350539,1
0,6111,24,23,0,68,4843,1
1,299939,227,227,1,11,297915,1
0,115059,164,164,0,22,112891,1
0,1036,16,15,0,63,2,1
1,763015,86,85,1,37,760970,0
1,547726,138,138,1,7,545198,0
0,19404,202,202,0,122,17227,0
0,53099,223,223,0,38,50910,1
0,2191081,91,90,0,53,2188577,1
1,52834,186,186,1,0,50840,0
1,13918,125,125,1,105,11750,1
1,18062,137,137,1,108,16122,1
1,62927,153,153,1,24,60651,1
1,34512,94,93,1,97,32440,1
0,5683,59,58,0,92,3845,0
1,1835456,208,208,1,48,1833030,0
0,711734,33,32,0,23,710958,0
0,482055,115,115,0,10,479794,0
1,89110,210,210,1,16,86993,1
0,92121,143,143,0,40,90979,1
0,7735,188,188,0,79,5258,1
0,2352753,134,134,0,53,2351474,0
1,5117,217,217,1,81,2943,0
0,120751,189,189,0,3,119534,1
0,9642,212,212,0,124,7252,0
0,28514,0,113,0,104,26043,0
0,1699,89,88,0,8,101,1
1,3774,19,18,1,65,1570,0
1,468090,42,41,1,2,465892,0
0,3637,167,167,0,33,1680,1
1,619207,206,206,1,9,617003,0
0,369971,63,62,0,55,367785,0
1,10067,29,28,1,45,8418,1
1,1108,165,165,1,76,1,0
0,3468,73,72,0,95,1171,0
0,1009265,80,79,0,37,1006986,0
0,560608,183,183,0,16,558551,0
0,28523,84,83,0,37,26538,1
0,2650,26,25,0,34,386,1
