Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,320234,148,148,23,15,319014,0
0,81801,40,40,11,45,80905,1
1,15410,226,226,2,38,14340,1
0,2162466,66,66,11,19,2161639,0
1,779639,96,96,2,14,778437,0
0,1098996,239,239,3,18,1097833,1
1,432941,204,204,0,14,432381,1
0,1077230,227,227,11,15,1076451,0
0,33929,170,170,20,2,32910,1
0,1422032,55,55,15,19,1421220,0
1,652441,52,52,2,8,651695,1
0,402463,87,87,21,5,401243,0
0,18040,109,109,23,58,16886,0
0,394684,22,22,1,14,394031,1
0,1153229,240,240,22,18,1151997,0
0,750678,157,157,24,18,750031,1
0,9906,4,4,22,23,8728,1
0,12258,156,156,23,69,11053,1
0,2202990,65,65,24,19,2202343,1
0,1011398,160,160,1,18,1010715,0
0,375897,23,23,26,19,375253,0
0,992655,211,211,11,14,991897,1
0,4632,138,138,22,32,3406,1
1,563168,91,91,2,14,561921,1
1,493669,122,122,34,15,492404,1
0,749602,56,56,16,19,748862,1
0,1832,61,61,22,47,591,0
0,217780,244,244,12,5,216641,0
0,1088191,238,238,16,18,1087412,1
0,822069,208,208,18,14,821287,0
1,10709,218,218,2,78,9531,0
0,23056,194,194,18,74,22262,0
0,691455,93,93,11,14,690643,0
1,497406,34,34,2,4,496306,0
0,365512,36,36,23,4,364310,1
0,9985,152,152,0,66,9303,0
1,4174,29,29,2,42,2966,0
0,1070767,197,197,11,14,1069991,0
0,599280,205,205,11,14,598465,1
0,26139,27,27,11,42,25351,1
1,182780,42,42,2,12,181743,1
0,196658,242,242,14,5,195561,0
0,387281,11,11,23,14,386064,0
0,1897997,129,129,11,18,1897239,0
0,1860,164,164,0,70,1114,1
0,581117,206,206,15,14,580287,0
0,400728,177,177,0,15,399566,0
0,617253,207,207,11,14,616495,0
1,745129,163,163,2,9,744176,0
0,1428734,54,54,26,19,1428093,0
0,1968229,127,127,11,18,1967444,1
1,13702,26,26,2,41,12743,0
0,1193619,232,232,1,15,1192936,0
0,210588,243,243,20,5,209491,0
1,17599,79,79,2,51,16553,0
0,1057942,134,134,22,14,1056725,0
0,663709,106,106,11,18,662936,1
0,1471918,184,184,5,17,1470884,0
1,884301,142,142,2,14,883339,1
0,18090,98,98,30,53,17131,0
0,1783506,131,131,11,18,1782673,1
0,1194158,233,233,0,15,1193721,0
1,5205,99,99,2,54,4201,1
1,177073,107,107,2,20,175745,0
0,153559,235,235,30,80,152606,0
0,4472,216,216,23,76,3321,0
0,979496,117,117,30,19,978543,1
0,1905082,69,69,11,19,1904309,1
1,27009,45,45,2,28,25858,1
0,38006,198,198,11,75,37197,0
0,1221966,179,179,14,17,1220947,0
0,226729,43,43,0,12,226322,1
1,76658,39,39,0,45,76494,0
0,987733,115,115,0,19,987176,1
1,937169,159,159,2,18,936387,1
0,416187,123,123,23,15,415021,1
0,983808,116,116,30,19,982858,1
1,497744,121,121,34,15,496932,1
1,3831,171,171,2,73,3070,1
1,3587,165,165,2,71,2544,0
0,10011,38,38,11,44,9199,1
0,1474427,53,53,27,19,1473666,0
0,36547,223,223,9,37,35690,0
0,531335,175,175,0,1,530982,1
1,477748,120,120,2,15,476525,1
1,1925877,68,68,2,19,1925107,1
0,1564778,74,74,16,19,1564014,1
0,1106541,228,228,22,15,1105297,0
0,15525,111,111,8,31,14710,1
1,2102,113,113,2,59,1101,1
0,178084,112,112,21,16,176870,1
0,712890,94,94,18,14,712129,1
0,77581,8,8,20,8,76523,1
0,855470,141,141,7,14,854496,0
0,1677,77,77,28,49,712,1
0,301271,149,149,18,15,300510,0
1,11639,199,199,2,75,10170,0
0,2202884,186,186,24,18,2202237,1
0,1487286,182,182,14,17,1486264,1
0,2879,136,136,11,62,2091,1
0,12102,220,220,0,35,11231,0
1,551759,89,89,2,14,550737,1
0,12897,5,5,0,24,11857,1
0,878597,144,144,11,14,877761,0
1,2640,173,173,2,33,1327,0
0,2089274,126,126,24,18,2088630,1
0,384191,37,37,14,4,383100,0
0,323886,162,162,25,11,323095,1
0,571633,48,48,11,7,570836,0
