Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,3,12909,144,112,10807,1,1
0,123,6110,101,100,3849,1,0
1,40,457048,91,9,454787,0,0
0,136,478833,231,6,476677,1,0
0,92,16869,153,115,14662,1,0
1,50,552888,219,15,550654,0,0
0,99,835809,98,28,833647,1,0
0,123,3770,51,88,732,2,1
1,22,828777,110,47,827212,0,1
1,42,9061,56,73,6806,0,1
0,41,2776,156,116,509,1,0
1,30,76342,180,33,73994,0,1
1,47,7765,30,42,5519,0,1
0,1,3747,24,71,1363,1,1
0,90,692573,71,19,690150,1,0
0,89,27924,7,17,26149,3,1
0,0,754574,176,26,752403,1,0
0,38,1178466,118,43,1176085,1,0
1,36,53359,117,39,52601,0,1
1,25,96434,222,5,94266,0,1
1,24,45480,198,121,43330,0,1
0,66,604953,82,20,602554,1,0
1,2,5633,13,61,4134,0,0
1,112,813661,183,37,811541,0,0
0,49,4215,73,19,1969,1,1
0,87,480713,39,4,478230,1,0
1,67,114439,9,3,112868,0,1
0,61,14957,65,75,12933,1,0
1,29,356577,108,52,354673,0,0
0,21,45278,102,18,42840,1,0
1,55,50723,122,105,48507,0,1
1,68,562476,174,10,560179,0,0
0,31,56175,86,5,53914,1,1
1,85,1621,66,94,2,0,1
0,129,4679,116,39,2307,1,1
0,123,11646,125,106,9286,1,1
0,70,487264,96,17,485114,1,0
0,1,47037,178,119,44773,1,1
0,21,371476,173,18,369323,1,0
0,131,477337,11,9,476408,3,0
0,51,828692,196,48,827244,1,1
1,88,909033,34,39,906619,0,0
0,91,1062,3,70,1,3,0
1,12,441740,94,29,439797,0,1
1,7,81519,12,5,79698,0,1
0,59,65232,218,51,62692,1,1
0,118,707127,49,23,704929,1,0
0,101,76316,29,51,74154,1,1
1,113,777368,224,31,775140,0,0
0,54,3230,129,22,921,1,1
0,123,2056,50,87,2,3,1
0,123,4947,47,85,2638,1,0
1,12,372955,230,29,370655,0,1
0,111,2326647,17,53,2325364,3,0
1,65,11060,143,31,8994,0,1
0,122,4184,235,35,1923,1,1
0,86,59089,42,56,56687,1,1
1,50,113111,169,15,111105,0,1
0,86,79561,119,56,77369,1,1
1,71,1451239,130,51,1449053,0,0
0,116,1009290,46,38,1006993,1,0
1,92,170211,124,49,168412,0,1
0,123,4516,54,90,3179,3,1
0,97,611448,113,10,610807,2,0
0,109,5046,161,117,2860,1,1
1,16,1375691,121,45,1373202,0,0
0,16,4025,167,16,1761,1,1
0,41,2650,25,34,386,1,1
1,10,689616,83,53,687517,0,0
1,9,335828,157,29,333633,0,1
1,16,1204656,199,45,1202680,0,0
1,65,7012,6,31,5501,0,1
1,117,2096,147,113,747,0,1
0,123,1138,5,107,2,3,0
1,31,8253,104,41,6340,0,1
1,73,1189025,190,51,1186812,0,0
1,125,496899,103,1,495853,0,0
0,60,15153,208,30,12949,1,1
0,131,1039862,78,37,1037046,1,0
0,49,20107,70,50,17801,1,1
1,65,799420,225,31,796943,0,0
0,3,391932,8,58,389746,1,1
0,77,3932,164,118,1401,1,0
0,13,914046,64,33,913312,3,0
0,124,244454,160,19,243822,2,0
0,131,394758,20,9,393970,2,0
0,34,574603,171,21,572120,1,0
1,11,4883,43,82,2628,0,1
1,121,252998,133,28,250869,0,0
0,74,2976,166,77,781,1,0
0,132,1159648,145,41,1157084,1,0
0,123,7454,53,89,5259,1,1
1,29,654471,77,52,652312,0,1
0,96,2907,37,72,667,1,0
0,44,4593,1,17,2230,1,1
0,111,1705791,90,53,1703299,1,1
1,9,598394,170,21,596190,0,0
0,52,2152,10,60,38,1,0
0,31,507624,193,3,505363,1,0
1,68,459000,175,10,456733,0,0
1,57,123424,232,8,121439,0,0
1,43,805063,181,38,803291,0,0
0,76,3147,44,83,535,1,1
0,123,7548,55,91,5362,1,0
0,123,11573,111,103,9210,1,0
0,59,81116,4,13,80040,2,1
0,21,703891,74,23,701787,2,0
0,4,351915,202,57,350539,2,1
0,8,6111,23,68,4843,2,1
1,78,299939,227,11,297915,0,1
0,114,115059,162,22,112891,1,1
0,53,1036,15,63,2,3,1
1,112,763015,84,37,760970,0,0
1,20,547726,136,7,545198,0,0
0,116,19404,201,122,17227,1,0
0,120,53099,223,38,50910,1,1
0,128,2191081,89,53,2188577,1,1
1,27,52834,185,0,50840,0,0
1,7,13918,123,105,11750,0,1
1,32,18062,135,108,16122,0,1
1,105,62927,151,24,60651,0,1
1,115,34512,92,97,32440,0,1
0,123,5683,57,92,3845,3,0
1,23,1835456,207,48,1833030,0,0
0,21,711734,32,23,710958,2,0
0,30,482055,114,10,479794,1,0
1,94,89110,209,16,86993,0,1
0,27,92121,141,40,90979,1,1
0,98,7735,187,79,5258,1,1
0,27,2352753,132,53,2351474,2,0
1,102,5117,217,81,2943,0,0
0,80,120751,188,3,119534,3,1
0,17,9642,212,124,7252,1,0
0,123,28514,112,104,26043,1,0
0,58,1699,87,8,101,3,1
1,17,3774,18,65,1570,0,0
1,131,468090,41,2,465892,0,0
1,75,811009,211,32,808763,0,0
1,40,619207,205,9,617003,0,0
0,33,369971,61,55,367785,1,0
1,64,10067,28,45,8418,0,1
1,104,1108,163,76,1,0,0
0,123,3468,72,95,1171,1,0
0,131,1009265,79,37,1006986,1,0
0,84,560608,182,16,558551,1,0
1,18,961848,155,36,959689,0,0
0,68,915393,63,33,914149,2,0
0,113,6868,186,120,4559,1,1
0,133,50074,191,3,47909,1,1
0,121,487691,31,18,485538,1,0
1,127,17178,109,102,14941,0,1
0,13,669010,134,16,666635,1,0
0,15,2335,172,12,101,3,1
0,93,798,168,78,1,3,1
1,111,1167843,146,41,1165567,0,0
0,66,140815,228,11,140096,2,1
0,60,3637,165,33,1680,2,1
0,123,5471,139,111,3207,1,1
0,49,5333,21,66,3093,1,1
0,56,59387,95,41,57738,3,1
0,41,477141,200,7,476586,2,0
0,123,5583,100,99,3223,1,0
1,12,20192,204,29,18165,0,1
1,48,636865,81,20,634829,0,0
0,79,180595,120,59,178343,1,0
0,116,827,14,62,3,2,0
1,94,122003,229,11,119982,0,1
0,104,16433,195,80,14709,2,1
1,24,35613,197,121,33460,0,1
1,132,16106,75,96,14127,0,0
0,39,194620,126,54,192110,1,0
0,42,85349,67,4,84366,2,1
0,137,303473,216,12,301437,3,1
0,14,49973,26,23,48072,2,1
0,123,7225,107,101,4853,1,0
0,37,3201,60,74,2560,2,1
0,123,17152,138,110,14774,1,1
0,95,43304,159,56,40902,1,1
0,35,52112,105,44,49749,1,1
0,62,316113,226,11,313945,1,1
0,134,3704,22,67,1446,1,1
1,36,12933,115,39,10912,0,1
1,104,60946,148,53,58898,0,1
1,5,1287,19,69,1,0,0
0,123,3133,52,89,824,1,1
0,82,23314,236,2,21104,1,0
0,6,763294,177,26,761027,1,0
1,81,411395,38,13,410220,0,0
1,130,51771,234,35,49540,0,1
1,125,469090,35,1,466913,0,0
0,126,909502,76,34,907241,1,0
0,83,68193,149,25,66007,1,1
0,106,315631,215,12,313523,1,1
1,64,480279,206,45,478171,0,0
1,41,609383,80,20,607077,0,0
0,119,377705,99,58,375522,1,0
0,108,400277,27,10,398004,1,0
0,26,702444,213,22,701878,3,0
1,28,369509,62,13,367296,0,1
0,103,5540,45,84,3963,2,1
0,41,526037,40,3,525222,3,0
0,26,57522,127,22,55348,1,1
1,11,28472,221,46,26358,0,1
1,20,3258,210,123,754,0,1
0,122,66424,233,35,64094,1,1
1,65,16197,179,119,13717,0,1
0,123,1669,48,86,2,3,1
1,0,399311,93,14,397290,0,0
0,45,646569,184,12,644707,2,0
1,64,27218,69,50,24993,0,1
0,16,2152465,192,52,2150273,1,0
1,36,5726,0,125,3723,0,0
1,29,1909430,131,52,1907460,0,1
0,107,1835184,68,47,1832923,1,0
0,84,27070,142,16,24536,1,1
0,106,311650,214,12,309482,1,1
