Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,41,9,1,10,24,0
1,107750,139,11,9,1,59,106153,0
0,4728447,71,15,8,0,24,4728247,1
0,673514,116,14,7,0,11,671973,1
1,113223,159,12,9,1,13,111766,0
1,2963001,153,12,9,1,13,2961642,0
0,98113,62,15,11,0,24,96665,1
0,234927,105,14,7,0,4,233464,1
0,3074,32,31,7,0,2,1527,1
1,117932,3,17,9,1,50,116413,1
1,194108,16,19,9,1,52,192547,1
1,38437,136,11,9,1,48,36916,0
0,1673892,128,8,0,0,45,1672390,1
1,56811,1,17,9,1,59,55260,1
1,4097911,87,13,9,1,20,4096637,0
1,13747,45,36,10,1,1,12274,0
1,4722977,92,16,9,1,46,4721453,1
1,55488,42,34,9,1,0,53963,1
1,6514,24,25,9,1,17,4976,1
1,1176353,118,5,9,1,21,1175359,1
1,397,21,22,9,1,8,120,0
1,222454,162,12,9,1,43,222215,0
0,1338858,64,15,8,0,58,1337821,0
0,140801,161,12,7,0,38,139203,0
0,3300734,68,15,7,0,24,3299619,0
1,147206,101,14,9,1,1,145692,1
0,4811681,75,15,7,0,24,4810350,1
1,1190683,120,5,9,1,55,1189121,1
1,1134,49,40,9,1,57,394,1
1,5469370,56,15,9,1,15,5468462,0
0,4592637,88,16,7,0,53,4591225,0
1,189308,103,14,9,1,22,187760,0
1,147872,14,19,9,1,52,146312,1
0,4790735,74,15,8,0,58,4789134,1
1,43444,100,14,12,1,22,41978,0
1,3088628,157,12,9,1,13,3087307,1
0,26455,58,15,11,0,58,24893,1
1,87159,61,15,11,1,15,85747,1
1,2557165,142,12,9,1,43,2556965,1
1,2991723,155,12,9,1,43,2990299,1
0,96632,121,6,7,0,34,95058,0
1,1583995,122,7,9,1,35,1582390,1
0,4918348,78,15,8,0,58,4916846,1
1,4070879,86,13,9,1,24,4070196,0
1,4785610,93,16,6,1,39,4785032,1
1,1554901,132,9,9,1,6,1553302,1
1,926246,63,15,13,1,15,924816,1
0,4109268,69,15,7,0,24,4108888,0
1,2842847,151,12,9,1,13,2842087,1
0,28198,38,33,7,0,38,26588,0
0,593688,113,14,7,0,4,592108,1
1,135030,13,19,9,1,52,133507,0
1,13271,47,38,9,1,18,11830,0
0,2161844,66,15,7,0,24,2161053,0
0,138222,160,12,8,0,38,136702,0
1,32771,50,40,9,1,57,31464,0
1,120397,12,19,9,1,52,118489,0
0,1783574,129,8,0,0,3,1782018,0
0,47692,59,15,11,0,40,46340,1
1,12451,46,37,9,1,19,11360,1
0,1629760,126,8,7,0,3,1628255,1
0,1799779,65,15,0,0,58,1798304,1
1,2775177,146,12,9,1,43,2774642,1
1,4871690,96,16,1,1,39,4870365,1
1,167770,15,19,9,1,52,166233,1
1,4866989,95,16,1,1,39,4866255,1
0,126989,140,11,8,0,12,125412,0
0,31216,39,34,8,0,54,29741,1
1,3085393,156,12,9,1,43,3083824,1
1,18623,36,32,9,1,49,18300,1
1,10546,20,21,9,1,19,9201,1
0,40024,6,0,7,0,36,38597,1
1,5571,33,32,9,1,49,4160,1
1,121323,4,17,9,1,50,119770,1
1,24394,7,1,9,1,31,23117,0
1,364495,109,14,9,1,22,363050,1
0,10563,52,42,7,0,56,9100,1
0,4877715,77,15,8,0,24,4876315,1
1,4696555,91,16,4,1,39,4695357,0
0,76678,60,15,11,0,24,74915,1
0,4782124,73,15,8,0,58,4781585,1
