Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1623870,29,29,44,9,18,1622425
0,384182,75,75,14,4,7,382887
0,1957918,56,56,52,8,20,1956215
1,603942,60,60,25,2,16,602953
1,1345315,49,49,29,3,20,1343381
0,401051,45,45,1,0,6,400292
0,411951,36,36,29,2,15,410611
0,802557,79,79,27,16,13,801154
0,120630,14,14,49,24,3,119065
0,2350,5,5,7,13,26,965
1,183296,63,63,5,19,4,181743
1,96204,71,71,7,5,38,95182
1,2122182,2,2,14,2,20,2120788
0,434782,74,74,35,9,7,433358
1,373406,51,51,26,2,21,371496
1,276965,34,34,13,14,2,276033
0,2077637,31,31,40,9,19,2076276
1,1662950,13,13,18,2,18,1661937
0,190053,62,62,15,2,12,189334
0,432759,18,18,9,22,9,431323
0,428550,44,44,42,2,6,427162
1,2196165,53,53,13,24,19,2194576
0,423414,17,17,34,1,9,422794
0,488962,25,25,43,1,2,488378
0,545819,21,21,25,24,16,544815
0,445437,42,42,12,10,20,444157
1,649350,3,3,24,9,20,647746
0,428424,40,40,54,21,7,427006
0,532018,81,81,38,9,6,530630
0,6897,4,4,22,24,25,5479
0,413826,41,41,28,2,7,412408
1,1356346,48,48,29,8,20,1354634
1,486119,27,27,16,24,17,484647
0,168069,0,0,10,11,5,166519
0,406516,39,39,14,9,7,405110
1,5338,43,43,23,24,1,4406
0,461547,46,46,42,2,6,460189
1,21584,9,9,48,2,11,19890
0,489416,6,6,43,0,2,489063
0,3277,16,16,31,21,22,1805
1,375903,7,7,4,6,2,374896
0,406809,78,78,19,10,20,405529
1,464293,19,19,47,2,9,462872
1,5790,23,23,33,17,30,4375
1,17774,66,66,46,2,24,16488
1,1412200,28,28,11,12,18,1410734
0,1111176,69,69,16,24,17,1109698
1,1053526,26,26,15,18,20,1052240
0,764059,22,22,6,14,16,762650
1,10843,64,64,50,0,35,9875
0,1876953,32,32,0,21,19,1875676
1,161,65,65,39,1,36,3
0,4346,58,58,8,20,33,2898
0,807440,72,72,37,17,14,806025
1,848504,1,1,25,9,19,847224
0,916885,35,35,51,0,16,915965
1,21672,12,12,21,0,29,20227
0,1720929,30,30,2,24,18,1719919
0,1673448,15,15,29,6,20,1672462
0,229325,57,57,45,21,8,227910
0,42175,59,59,46,20,34,40730
0,1613551,55,55,23,2,19,1612028
1,2133734,54,54,0,1,19,2133172
1,6645,68,68,20,2,37,5179
0,401095,20,20,3,2,10,399644
0,440871,73,73,28,2,7,439477
0,129767,80,80,32,15,0,128835
0,1142020,52,52,44,23,18,1140743
0,377047,76,76,41,2,7,375671
1,407538,24,24,30,0,0,407386
0,395492,77,77,10,2,7,394080
0,19699,10,10,17,2,28,17999
0,1461,38,38,36,2,32,1
1,1480218,11,11,55,2,20,1478512
1,56906,8,8,53,19,27,55425
0,5370,61,61,46,2,23,3925
0,587224,82,82,16,2,6,585836
0,1861827,33,33,11,13,19,1860490
0,1206373,50,50,12,0,20,1204937
0,385849,47,47,42,2,6,384458
0,18574,37,37,9,1,31,17966
0,1178108,70,70,3,18,17,1176633
1,39044,67,67,10,7,37,37485
