Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,313057,145,145,16,15,312338,0
1,76658,39,39,0,45,76494,0
0,36547,222,222,9,37,35690,0
0,2151652,66,66,9,20,2150759,1
0,749937,93,93,16,14,749176,1
0,1088191,237,237,16,19,1087412,1
1,432941,203,203,0,14,432381,1
1,497744,121,121,34,15,496932,1
0,33929,166,166,19,2,32910,1
0,1227756,106,106,27,20,1227118,1
1,652441,52,52,2,8,651695,1
0,402463,85,85,20,5,401243,0
1,2521,109,109,2,58,1283,1
0,394684,23,23,1,14,394031,1
0,1098996,238,238,3,19,1097833,1
0,663709,104,104,10,19,662936,1
0,738,2,2,0,23,1,0
1,41030,151,151,2,68,39978,0
0,2162466,65,65,10,20,2161639,0
1,937169,156,156,2,19,936387,1
1,269718,147,147,2,20,269074,1
0,946792,5,5,21,14,945539,1
0,15525,110,110,8,32,14710,1
1,563168,89,89,2,14,561921,1
1,477748,120,120,2,15,476525,1
0,731234,56,56,10,20,730422,0
0,11189,50,50,22,46,10047,1
0,217780,244,244,11,5,216641,0
0,1034038,239,239,12,19,1032938,1
1,779639,94,94,2,14,778437,0
1,10709,218,218,2,77,9531,0
0,23056,191,191,18,73,22262,0
1,667923,92,92,2,14,666610,1
1,497406,34,34,2,4,496306,0
0,365512,36,36,22,4,364310,1
0,3650,148,148,6,65,2478,1
1,13702,26,26,2,41,12743,0
0,1057942,132,132,21,14,1056725,0
0,589228,206,206,22,14,588062,0
0,10217,29,29,21,42,9084,1
1,182780,42,42,2,12,181743,1
0,196658,242,242,14,5,195561,0
0,387281,11,11,22,14,386064,0
1,1887968,128,128,2,19,1886823,0
0,12258,153,153,22,69,11053,1
0,581117,205,205,15,14,580287,0
0,386514,171,171,21,15,385279,0
0,599280,204,204,10,14,598465,1
1,745129,159,159,2,9,744176,0
0,1422032,55,55,15,20,1421220,0
1,1921338,126,126,2,19,1920505,1
0,28969,25,25,1,40,28568,0
0,1173402,230,230,18,15,1172566,0
0,210588,243,243,19,5,209491,0
1,9998,76,76,2,50,9753,0
0,1049347,133,133,15,14,1048619,0
0,358168,102,102,25,19,357524,0
1,1247221,176,176,2,18,1246121,0
0,878597,141,141,10,14,877761,0
0,2004,95,95,24,52,790,1
0,1778534,130,130,13,19,1777443,0
0,1193619,231,231,1,15,1192936,0
0,18090,96,96,31,53,17131,0
0,2202990,64,64,25,20,2202343,1
0,153559,234,234,31,79,152606,0
0,4472,216,216,22,75,3321,0
0,975187,117,117,31,20,974237,1
0,1745136,190,190,16,20,1744339,0
0,19523,47,47,22,29,18321,1
0,38006,197,197,10,74,37197,0
0,1147481,173,173,7,18,1146423,1
0,226729,43,43,0,12,226322,1
0,10011,38,38,10,44,9199,1
0,983808,115,115,31,20,982858,1
0,914563,155,155,27,19,913814,0
0,400728,172,172,0,15,399566,0
0,979496,116,116,31,20,978543,1
1,493669,122,122,34,15,492404,1
1,41773,164,164,2,72,40529,1
0,1860,160,160,0,70,1114,1
0,19594,30,30,10,43,18863,1
0,1447013,54,54,26,20,1446237,1
0,31870,221,221,10,37,31118,0
0,531335,169,169,0,1,530982,1
0,462427,170,170,10,15,461594,0
0,1905082,67,67,10,20,1904309,1
0,1474427,53,53,28,20,1473666,0
0,1098330,232,232,9,15,1097515,0
1,41345,78,78,33,31,40839,0
0,18040,108,108,22,58,16886,0
0,1062126,196,196,23,16,1060936,0
0,705599,91,91,18,14,704769,0
0,77581,7,7,19,8,76523,1
0,837722,210,210,0,14,837087,0
0,39296,62,62,21,48,38151,0
0,272963,214,214,16,15,272211,0
1,11639,198,198,2,74,10170,0
0,2187940,182,182,25,19,2187290,1
0,1471918,179,179,5,18,1470884,0
1,11872,131,131,2,61,11348,0
0,1675,215,215,10,35,854,1
1,551759,87,87,2,14,550737,1
0,9906,4,4,21,24,8728,1
0,863354,140,140,9,14,862533,0
1,2556,167,167,2,33,1318,0
1,2049687,185,185,2,19,2048413,1
0,384191,37,37,14,4,383100,0
0,323886,158,158,26,11,323095,1
0,571633,48,48,10,7,570836,0
1,663114,17,17,2,20,662260,0
0,826530,13,13,18,19,825718,1
0,14090,63,63,21,48,12945,0
0,1229889,175,175,19,18,1228786,0
0,1218003,107,107,0,20,1217665,0
1,290434,80,80,2,14,289571,0
0,1022329,213,213,18,14,1021526,1
1,27009,45,45,2,29,25858,1
0,987733,114,114,0,20,987176,1
0,11743,224,224,10,37,10985,1
1,295086,100,100,2,12,293887,1
0,941707,6,6,10,14,940901,1
0,12102,220,220,0,36,11231,0
0,1588977,123,123,32,18,1588012,0
0,644758,119,119,26,6,643769,0
0,17814,235,235,29,79,16873,1
0,750678,154,154,25,19,750031,1
1,1790,8,8,2,25,1116,1
1,7239,180,180,2,0,5971,1
0,13009,152,152,22,68,11804,0
1,3587,161,161,2,71,2544,0
1,1152958,193,193,2,14,1151783,1
0,1694274,68,68,25,20,1693627,0
0,1863,103,103,18,57,1015,0
0,247509,144,144,10,15,246700,0
0,684782,57,57,31,20,683826,0
0,1070767,194,194,10,14,1069991,0
1,137805,157,157,2,12,136807,0
0,461022,201,201,30,14,460051,1
0,1577124,187,187,11,19,1576114,0
0,614,51,51,0,46,222,1
0,5008,9,9,10,26,4142,0
0,31139,61,61,21,48,29922,0
0,375903,35,35,19,4,374896,1
0,12268,236,236,21,80,10958,0
0,2029082,21,21,21,20,2027874,1
0,13418,150,150,16,67,12669,0
0,550504,49,49,10,7,549704,0
0,7162,223,223,10,37,6368,1
1,556235,168,168,2,1,555144,0
0,1148502,228,228,10,15,1147669,0
1,381597,15,15,2,10,380962,0
0,36628,46,46,22,29,35402,1
0,2155792,183,183,25,19,2155145,0
0,9178,74,74,10,30,8375,1
1,26635,162,162,34,72,25832,0
0,1648331,124,124,11,18,1647294,0
0,492438,202,202,21,14,491209,0
1,23852,33,33,34,28,23046,0
0,1522877,178,178,26,18,1521903,1
0,178084,111,111,20,17,176870,1
0,15379,219,219,10,77,14528,0
0,77977,41,41,10,3,77144,0
0,617253,207,207,10,14,616495,0
0,12388,136,136,0,64,11468,0
0,537352,88,88,21,14,536177,1
