Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,7608,41,41,89,6745,1
1,326018,102,102,22,323649,0
1,476915,37,37,3,476025,0
0,346408,205,205,60,346178,1
1,216862,124,124,54,214952,0
1,80177,230,230,13,78453,1
1,8014,84,84,10,5234,1
1,557,91,91,105,3,1
1,74182,14,14,21,73355,1
0,346850,204,204,60,346512,1
1,921959,64,64,35,919047,0
1,1129891,146,146,42,1128836,0
1,2216,40,40,88,1884,0
1,56787,222,222,63,55507,1
1,612,71,71,43,103,1
1,929,175,175,128,3,0
1,9109,153,153,27,6119,1
1,35665,151,151,27,33647,1
1,223303,156,156,24,221369,0
1,30441,196,196,131,27628,1
1,1839347,130,130,52,1836461,0
0,71748,32,32,51,71398,1
1,122795,35,35,8,121053,0
1,1121147,213,213,42,1120731,0
1,216652,229,229,26,216302,1
1,53404,239,239,37,53066,1
1,20561,119,119,40,20007,1
1,215357,61,61,25,214062,1
1,543960,136,136,6,542011,0
1,23503,234,234,5,21764,1
1,57738,223,223,63,56893,1
1,857583,109,109,32,854629,0
1,615828,187,187,24,612868,0
1,3521,176,176,84,564,0
1,640889,122,122,14,638082,0
1,119855,182,182,7,118959,1
1,351059,63,63,57,348930,0
1,4441,70,70,50,1115,1
0,218,155,155,122,3,0
1,578507,188,188,24,577500,0
1,835,4,4,87,1,0
1,12423,126,126,25,10753,1
1,100170,26,26,13,98553,1
1,76293,27,27,58,74227,1
1,17384,123,123,114,15111,1
1,395,201,201,85,3,1
0,1415811,19,19,46,1415230,0
1,229154,238,238,7,227562,0
1,64517,121,121,58,64071,1
1,10942,200,200,30,10619,1
1,45868,112,112,45,44981,1
1,10805,106,106,111,10074,0
1,706956,36,36,27,704473,0
0,4265,65,65,99,3411,0
1,8105,58,58,96,5802,1
1,1034156,74,74,38,1031220,0
0,157631,185,185,49,157230,0
1,7838,214,214,134,7741,1
1,794,8,8,65,3,0
0,1231,13,13,72,899,1
1,51751,107,107,21,49106,0
1,2332647,199,199,53,2330257,0
1,114401,62,62,59,112584,1
1,41471,157,157,53,39177,1
1,1399795,23,23,46,1397420,0
1,6985,82,82,102,4031,1
1,46358,92,92,15,44298,1
1,1122061,145,145,42,1121249,0
1,535,6,6,64,1,0
1,11717,177,177,129,11061,0
1,629366,208,208,46,627348,0
1,34648,29,29,37,31775,1
1,56420,158,158,53,55923,1
1,42976,227,227,39,42014,1
1,2400,167,167,125,211,0
1,3058,138,138,119,647,0
1,33980,165,165,52,31590,1
1,358301,173,173,56,355485,0
0,202126,77,77,57,201683,0
1,83691,197,197,2,83233,1
1,33312,80,80,38,32212,1
1,1050263,159,159,47,1049748,0
1,368350,49,49,56,367493,0
1,23148,139,139,41,20869,1
1,877,16,16,75,2,0
1,1381,103,103,109,2,0
0,1130987,147,147,42,1130442,0
1,33975,34,34,26,32362,1
1,47107,231,231,13,46339,1
1,25397,152,152,27,23602,1
1,2035,128,128,117,1445,0
1,254233,181,181,35,251879,1
0,282,117,117,83,1,1
1,903359,161,161,52,902475,0
1,3364,171,171,127,1112,0
1,8634,59,59,97,6310,0
1,6051,110,110,82,3256,0
1,88109,218,218,24,87465,0
1,147,10,10,66,1,0
1,36817,150,150,27,35931,1
1,15156,24,24,77,14362,1
1,944659,162,162,52,941918,1
1,513917,236,236,5,513297,0
1,24472,189,189,14,23342,1
