Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1623870,31,31,9,44,18,1622425,0
0,384182,75,75,4,15,7,382887,0
0,1885991,15,15,11,29,20,1884423,1
1,603942,60,60,2,26,16,602953,1
0,1345315,51,51,3,29,20,1343381,1
0,401051,46,46,0,1,6,400292,0
1,411951,38,38,2,29,15,410611,0
0,802557,79,79,16,27,13,801154,0
1,120630,14,14,24,49,3,119065,0
1,6897,4,4,24,23,25,5479,0
0,183296,63,63,19,5,4,181743,1
0,96204,71,71,5,8,36,95182,1
0,2001175,57,57,11,18,20,1999607,1
0,434782,74,74,9,34,7,433358,0
1,2122182,2,2,2,15,20,2120788,1
0,276965,36,36,14,14,2,276033,1
0,2077637,33,33,9,39,19,2076276,0
1,1662950,13,13,2,19,18,1661937,1
1,190053,62,62,2,16,12,189334,0
0,432759,20,20,22,10,9,431323,0
1,428550,45,45,2,42,6,427162,0
1,2196165,54,54,24,14,19,2194576,1
0,423414,19,19,1,33,9,422794,0
0,488962,26,26,1,43,2,488378,0
1,545819,23,23,24,26,16,544815,0
0,445437,43,43,10,13,20,444157,0
0,649350,3,3,9,25,20,647746,1
0,428424,41,41,21,54,7,427006,0
0,532018,81,81,9,36,6,530630,0
1,17774,66,66,2,46,24,16488,1
1,413826,42,42,2,28,7,412408,0
0,1356346,50,50,8,29,20,1354634,1
1,486119,29,29,24,17,17,484647,1
0,168069,0,0,11,11,5,166519,0
0,406516,40,40,9,15,7,405110,0
1,5338,44,44,24,24,1,4406,1
1,461547,47,47,2,42,6,460189,0
1,21584,9,9,2,48,11,19890,1
0,489416,6,6,0,43,2,489063,0
1,17138,17,17,24,41,21,16128,0
0,375903,7,7,6,4,2,374896,1
0,406809,78,78,10,20,20,405529,0
1,464293,21,21,2,47,9,462872,1
0,21672,11,11,0,22,28,20227,1
1,5370,61,61,2,46,23,3925,0
0,1412200,30,30,12,12,18,1410734,1
1,1111176,69,69,24,17,17,1109698,0
0,1053526,28,28,18,16,20,1052240,1
0,764059,24,24,14,6,16,762650,0
0,10843,64,64,0,50,33,9875,1
0,1876953,34,34,21,0,19,1875676,0
0,161,65,65,1,38,34,3,1
0,43028,49,49,21,7,31,41619,1
0,807440,72,72,17,35,14,806025,0
0,848504,1,1,9,26,19,847224,1
0,916885,37,37,0,51,16,915965,0
1,12708,12,12,2,52,28,11269,1
1,1720929,32,32,24,2,18,1719919,0
0,1673448,16,16,6,29,20,1672462,0
0,229325,58,58,21,45,8,227910,0
0,4346,59,59,20,9,32,2898,0
1,1613551,56,56,2,24,19,1612028,0
0,2133734,55,55,1,0,19,2133172,1
1,6645,68,68,2,21,35,5179,1
1,401095,22,22,2,3,10,399644,0
1,440871,73,73,2,28,7,439477,0
0,129767,80,80,15,32,0,128835,0
0,1142020,53,53,23,44,18,1140743,0
1,377047,76,76,2,40,7,375671,0
0,407538,25,25,0,30,0,407386,1
1,395492,77,77,2,11,7,394080,0
0,56906,8,8,19,53,27,55425,1
0,8854,39,39,10,55,30,7577,0
1,1480218,10,10,2,56,20,1478512,1
0,2350,5,5,13,8,26,965,0
0,3277,18,18,21,31,22,1805,0
1,587224,82,82,2,17,6,585836,0
0,1861827,35,35,13,12,19,1860490,0
0,1206373,52,52,0,13,20,1204937,0
1,385849,48,48,2,42,6,384458,0
1,2009,27,27,24,37,29,930,0
0,1178108,70,70,18,3,17,1176633,0
0,39044,67,67,7,11,35,37485,1
