Entity_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Encoded_Protein_Name
0,71,313057,145,145,15,312338,0,16
1,68,76658,39,39,45,76494,0,0
0,82,36547,222,222,37,35690,0,9
0,35,2151652,66,66,20,2150759,1,9
0,14,749937,93,93,14,749176,1,16
0,51,1088191,237,237,19,1087412,1,16
1,4,432941,203,203,14,432381,1,0
1,20,497744,121,121,15,496932,1,34
0,86,33929,166,166,2,32910,1,19
0,72,1227756,106,106,20,1227118,1,27
1,86,652441,52,52,8,651695,1,2
0,40,402463,85,85,5,401243,0,20
1,34,2521,109,109,58,1283,1,2
0,62,394684,23,23,14,394031,1,1
0,54,1098996,238,238,19,1097833,1,3
0,54,663709,104,104,19,662936,1,10
0,74,738,2,2,23,1,0,0
1,39,41030,151,151,68,39978,0,2
0,59,2162466,65,65,20,2161639,0,10
1,3,937169,156,156,19,936387,1,2
1,13,269718,147,147,20,269074,1,2
0,8,946792,5,5,14,945539,1,21
0,2,15525,110,110,32,14710,1,8
1,83,563168,89,89,14,561921,1,2
1,42,477748,120,120,15,476525,1,2
0,59,731234,56,56,20,730422,0,10
0,0,11189,50,50,46,10047,1,22
0,24,217780,244,244,5,216641,0,11
0,19,1034038,239,239,19,1032938,1,12
1,83,779639,94,94,14,778437,0,2
1,37,10709,218,218,77,9531,0,2
0,58,41608,191,191,73,40412,1,21
1,4,667923,92,92,14,666610,1,2
1,6,497406,34,34,4,496306,0,2
0,38,365512,36,36,4,364310,1,22
0,27,3650,148,148,65,2478,1,6
1,92,13702,26,26,41,12743,0,2
0,8,1057942,132,132,14,1056725,0,21
0,56,589228,206,206,14,588062,0,22
0,0,10217,29,29,42,9084,1,21
1,25,182780,42,42,12,181743,1,2
0,49,196658,242,242,5,195561,0,14
0,62,387281,11,11,14,386064,0,22
1,3,1887968,128,128,19,1886823,0,2
0,0,12258,153,153,69,11053,1,22
0,8,581117,205,205,14,580287,0,15
0,71,386514,171,171,15,385279,0,21
0,56,599280,204,204,14,598465,1,10
1,54,745129,159,159,9,744176,0,2
0,59,1422032,55,55,20,1421220,0,15
1,12,1921338,126,126,19,1920505,1,2
0,27,28969,25,25,40,28568,0,1
0,71,1173402,230,230,15,1172566,0,18
0,80,210588,243,243,5,209491,0,19
1,29,9998,76,76,50,9753,0,2
0,62,1049347,133,133,14,1048619,0,15
0,28,358168,102,102,19,357524,0,25
1,79,1247221,176,176,18,1246121,0,2
0,8,878597,141,141,14,877761,0,10
0,27,2004,95,95,52,790,1,24
0,78,1778534,130,130,19,1777443,0,13
0,71,1193619,231,231,15,1192936,0,1
0,27,18090,96,96,53,17131,0,31
0,53,2202990,64,64,20,2202343,1,25
0,93,153559,234,234,79,152606,0,31
0,90,4472,216,216,75,3321,0,22
0,53,975187,117,117,20,974237,1,31
0,53,1745136,190,190,20,1744339,0,16
0,61,19523,47,47,29,18321,1,22
0,92,38006,197,197,74,37197,0,10
0,67,1147481,173,173,18,1146423,1,7
0,32,226729,43,43,12,226322,1,0
0,27,10011,38,38,44,9199,1,10
0,53,983808,115,115,20,982858,1,31
0,94,914563,155,155,19,913814,0,27
0,71,400728,172,172,15,399566,0,0
0,72,979496,116,116,20,978543,1,31
1,42,493669,122,122,15,492404,1,34
1,73,41773,164,164,72,40529,1,2
0,27,1860,160,160,70,1114,1,0
0,27,19594,30,30,43,18863,1,10
0,72,1447013,54,54,20,1446237,1,26
0,82,31870,221,221,37,31118,0,10
0,87,531335,169,169,1,530982,1,0
0,71,462427,170,170,15,461594,0,10
0,35,1905082,67,67,20,1904309,1,10
0,53,1474427,53,53,20,1473666,0,28
0,57,1098330,232,232,15,1097515,0,9
1,46,41345,78,78,31,40839,0,33
0,27,18040,108,108,58,16886,0,22
0,48,1062126,196,196,16,1060936,0,23
0,8,705599,91,91,14,704769,0,18
0,5,77581,7,7,8,76523,1,19
0,8,837722,210,210,14,837087,0,0
0,0,39296,62,62,48,38151,0,21
0,71,272963,214,214,15,272211,0,16
1,16,11639,198,198,74,10170,0,2
0,28,2187940,182,182,19,2187290,1,25
0,97,1471918,179,179,18,1470884,0,5
1,77,11872,131,131,61,11348,0,2
0,84,1675,215,215,35,854,1,10
1,4,551759,87,87,14,550737,1,2
0,22,9906,4,4,24,8728,1,21
0,8,863354,140,140,14,862533,0,9
1,2,2556,167,167,33,1318,0,2
1,12,2049687,185,185,19,2048413,1,2
0,38,384191,37,37,4,383100,0,14
0,52,323886,158,158,11,323095,1,26
0,88,571633,48,48,7,570836,0,10
1,13,663114,17,17,20,662260,0,2
0,23,826530,13,13,19,825718,1,18
0,0,14090,63,63,48,12945,0,21
0,17,1229889,175,175,18,1228786,0,19
0,79,1218003,107,107,20,1217665,0,0
1,4,290434,80,80,14,289571,0,2
0,5,1022329,213,213,14,1021526,1,18
1,1,27009,45,45,29,25858,1,2
0,95,987733,114,114,20,987176,1,0
0,33,11743,224,224,37,10985,1,10
1,25,295086,100,100,12,293887,1,2
0,62,941707,6,6,14,940901,1,10
0,58,12102,220,220,36,11231,0,0
0,47,1588977,123,123,18,1588012,0,32
0,60,644758,119,119,6,643769,0,26
0,89,17814,235,235,79,16873,1,29
0,94,750678,154,154,19,750031,1,25
1,43,1790,8,8,25,1116,1,2
1,63,7239,180,180,0,5971,1,2
0,27,13009,152,152,68,11804,0,22
1,66,3587,161,161,71,2544,0,2
1,4,1152958,193,193,14,1151783,1,2
0,72,1694274,68,68,20,1693627,0,25
0,0,1863,103,103,57,1015,0,18
0,71,247509,144,144,15,246700,0,10
0,95,684782,57,57,20,683826,0,31
0,8,1070767,194,194,14,1069991,0,10
1,25,137805,157,157,12,136807,0,2
0,8,461022,201,201,14,460051,1,30
0,45,1577124,187,187,19,1576114,0,11
0,27,614,51,51,46,222,1,0
0,100,5008,9,9,26,4142,0,10
0,0,31139,61,61,48,29922,0,21
0,5,375903,35,35,4,374896,1,19
0,90,12268,236,236,80,10958,0,21
0,79,2029082,21,21,20,2027874,1,21
0,27,13418,150,150,67,12669,0,16
0,88,550504,49,49,7,549704,0,10
0,65,7162,223,223,37,6368,1,10
1,34,556235,168,168,1,555144,0,2
0,71,1148502,228,228,15,1147669,0,10
1,75,381597,15,15,10,380962,0,2
0,55,36628,46,46,29,35402,1,22
0,47,2155792,183,183,19,2155145,0,25
0,18,9178,74,74,30,8375,1,10
1,99,26635,162,162,72,25832,0,34
0,97,1648331,124,124,18,1647294,0,11
0,62,492438,202,202,14,491209,0,21
1,52,23852,33,33,28,23046,0,34
0,97,1522877,178,178,18,1521903,1,26
0,46,178084,111,111,17,176870,1,20
0,83,15379,219,219,77,14528,0,10
0,81,77977,41,41,3,77144,0,10
0,5,617253,207,207,14,616495,0,10
0,43,12388,136,136,64,11468,0,0
0,8,537352,88,88,14,536177,1,21
1,59,35179,44,44,13,34406,1,2
0,27,81801,40,40,45,80905,1,10
0,94,1912694,127,127,19,1911738,1,26
1,25,287088,99,99,12,285889,1,2
0,57,1165493,229,229,15,1164663,0,10
1,73,29968,163,163,72,28721,0,2
0,96,37518,31,31,28,36670,0,10
0,54,1783506,129,129,19,1782673,1,10
0,24,432927,247,247,5,431740,0,14
1,10,2102,112,112,59,1101,1,2
0,91,320234,146,146,15,319014,0,22
1,4,827468,209,209,14,826311,1,2
1,11,4723,24,24,39,4340,1,2
0,76,3769,1,1,22,3023,1,0
0,51,335,10,10,26,3,0,0
0,32,227094,20,20,12,226831,1,1
0,27,23810,60,60,47,22572,1,21
0,13,1026,225,225,78,841,1,0
1,36,13592,101,101,56,12324,1,2
0,59,1989097,189,189,20,1988282,1,10
1,7,445921,19,19,4,445157,0,2
0,5,247162,12,12,14,246347,0,10
0,5,1018268,212,212,14,1017216,1,7
0,27,2879,134,134,62,2091,1,10
0,69,1338,195,195,34,835,1,0
0,0,19059,165,165,72,18244,0,10
0,59,2097143,188,188,20,2096334,1,10
0,28,2142542,184,184,19,2141583,0,26
0,30,392050,86,86,12,391007,0,0
1,52,55904,32,32,28,55386,1,2
0,53,1679298,71,71,20,1678525,0,26
1,78,17599,77,77,51,16553,0,2
0,44,255296,142,142,15,254511,0,18
0,8,305564,84,84,14,304740,0,8
0,26,486743,58,58,1,485586,0,14
0,5,277578,82,82,14,276769,0,10
